fold_start,fold_end,threshold,test_roc_auc,test_precision,test_recall,test_f1,n_test_positive,signal
0,630,0.0010470602940895477,,0.0,0.0,0.0,0,tda_h1_l2
126,756,0.0010470602940895477,0.6890243902439024,0.5454545454545454,0.13636363636363635,0.21818181818181817,44,tda_h1_l2
252,882,0.000878342526018513,,0.0,0.0,0.0,0,tda_h1_l2
378,1008,0.000878342526018513,,0.0,0.0,0.0,0,tda_h1_l2
504,1134,0.000878342526018513,0.4894501278772379,0.0,0.0,0.0,34,tda_h1_l2
630,1260,0.0008595994869630631,,0.0,0.0,0.0,0,tda_h1_l2
756,1386,0.0005725397823049584,,0.0,0.0,0.0,0,tda_h1_l2
882,1512,0.00040091274424612183,0.1414859580519019,0.16363636363636364,0.6206896551724138,0.2589928057553957,29,tda_h1_l2
1008,1638,0.00028339442544264717,,0.0,0.0,0.0,0,tda_h1_l2
1134,1764,0.00028339442544264717,,0.0,0.0,0.0,0,tda_h1_l2
1260,1890,0.00028339442544264717,0.36714975845410625,0.4523809523809524,1.0,0.6229508196721312,57,tda_h1_l2
1386,2016,0.00028339442544264717,,0.0,0.0,0.0,0,tda_h1_l2
1512,2142,0.00029015889834603606,,0.0,0.0,0.0,0,tda_h1_l2
1638,2268,0.00029015889834603606,0.6281549946676146,0.23015873015873015,1.0,0.3741935483870968,29,tda_h1_l2
1764,2394,0.00029015889834603606,,0.0,0.0,0.0,0,tda_h1_l2
0,630,0.2807380961363519,,0.0,0.0,0.0,0,tda_h0_total
126,756,0.2807380961363519,0.9060421286031043,0.7916666666666666,0.8636363636363636,0.8260869565217391,44,tda_h0_total
252,882,0.27603530745022914,,0.0,0.0,0.0,0,tda_h0_total
378,1008,0.26086493036430136,,0.0,0.0,0.0,0,tda_h0_total
504,1134,0.268617515921974,0.5527493606138107,0.38095238095238093,0.47058823529411764,0.42105263157894735,34,tda_h0_total
630,1260,0.268617515921974,,0.0,0.0,0.0,0,tda_h0_total
756,1386,0.2651457599073443,,0.0,0.0,0.0,0,tda_h0_total
882,1512,0.2847447498129071,0.9360113757554213,0.7631578947368421,1.0,0.8656716417910447,29,tda_h0_total
1008,1638,0.2847447498129071,,0.0,0.0,0.0,0,tda_h0_total
1134,1764,0.3486399123709748,,0.0,0.0,0.0,0,tda_h0_total
1260,1890,0.3486399123709748,0.7055682684973303,0.967741935483871,0.5263157894736842,0.6818181818181818,57,tda_h0_total
1386,2016,0.3486399123709748,,0.0,0.0,0.0,0,tda_h0_total
1512,2142,0.3937892387950893,,0.0,0.0,0.0,0,tda_h0_total
1638,2268,0.3937892387950893,0.49022396018485603,0.0,0.0,0.0,29,tda_h0_total
1764,2394,0.28247613308659647,,0.0,0.0,0.0,0,tda_h0_total
0,630,3.4131560263442444,,0.0,0.0,0.0,0,tda_anomaly
126,756,3.4131560263442444,0.9398558758314856,0.9428571428571428,0.75,0.8354430379746836,44,tda_anomaly
252,882,3.4059359561003677,,0.0,0.0,0.0,0,tda_anomaly
378,1008,3.022499911077176,,0.0,0.0,0.0,0,tda_anomaly
504,1134,3.022499911077176,0.4798593350383632,0.4166666666666667,0.4411764705882353,0.42857142857142855,34,tda_anomaly
630,1260,3.022499911077176,,0.0,0.0,0.0,0,tda_anomaly
756,1386,4.704262851916657,,0.0,0.0,0.0,0,tda_anomaly
882,1512,4.704262851916657,0.9996445076430858,1.0,0.41379310344827586,0.5853658536585366,29,tda_anomaly
1008,1638,3.393260279683529,,0.0,0.0,0.0,0,tda_anomaly
1134,1764,3.194688847096509,,0.0,0.0,0.0,0,tda_anomaly
1260,1890,3.194688847096509,0.6709890668700738,0.9354838709677419,0.5087719298245614,0.6590909090909091,57,tda_anomaly
1386,2016,3.192764977561375,,0.0,0.0,0.0,0,tda_anomaly
1512,2142,3.3634074546323616,,0.0,0.0,0.0,0,tda_anomaly
1638,2268,3.3634074546323616,0.254888019907572,0.06060606060606061,0.06896551724137931,0.06451612903225806,29,tda_anomaly
0,630,0.184881384836531,,0.0,0.0,0.0,0,realized_vol
126,756,0.184881384836531,0.8555986696230597,0.7777777777777778,0.7954545454545454,0.7865168539325843,44,realized_vol
252,882,0.18325788397283768,,0.0,0.0,0.0,0,realized_vol
378,1008,0.1794689886315312,,0.0,0.0,0.0,0,realized_vol
504,1134,0.15457420759562898,0.3705242966751919,0.22666666666666666,0.5,0.3119266055045872,34,realized_vol
630,1260,0.1794689886315312,,0.0,0.0,0.0,0,realized_vol
756,1386,0.1851847891700977,,0.0,0.0,0.0,0,realized_vol
882,1512,0.1851847891700977,0.9274795591894774,0.7837837837837838,1.0,0.8787878787878788,29,realized_vol
1008,1638,0.1851847891700977,,0.0,0.0,0.0,0,realized_vol
1134,1764,0.19180895016517072,,0.0,0.0,0.0,0,realized_vol
1260,1890,0.19180895016517072,0.7012458682939232,0.967741935483871,0.5263157894736842,0.6818181818181818,57,realized_vol
1386,2016,0.19180895016517072,,0.0,0.0,0.0,0,realized_vol
1512,2142,0.23519155169709371,,0.0,0.0,0.0,0,realized_vol
1638,2268,0.23519155169709371,0.576253110558123,0.0,0.0,0.0,29,realized_vol
